date,Artibonite,Centre,Grande_Anse,Nippes,Nord,Nord-Est,Nord-Ouest,Ouest,Sud,Sud-Est
2000-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2805000066757202,0.0,0.0
2000-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20550000667572021,0.0,0.0
2000-03-03,0.0,0.4950000047683716,9.357499996821085,0.7418181679465554,0.0,0.0,0.0,3.024000072479248,8.953333351347181,0.8760000228881836
2000-03-04,0.0,0.0,1.997499942779541,1.7563636953180486,0.0,0.0,0.5880000114440918,0.3509999752044678,1.5583333174387615,0.7739999771118165
2000-03-05,23.339999707539878,13.927500208218893,15.802500009536743,15.692727869207209,20.115789388355456,22.5438473041241,7.829999923706055,15.300000143051147,13.056666851043701,18.114000701904295
2000-03-06,3.8760000387827556,11.77750019232432,4.772499819596608,8.517272862521084,3.680526281657972,3.3553846982809215,3.4559999823570253,13.499999713897704,8.306666413942972,4.250999975204468
2000-03-07,1.9899999936421713,3.525000035762787,1.0649999678134918,2.871818195689808,4.8789474587691455,5.344615422762358,3.536999988555908,2.662499964237213,2.706666585471895,1.9349999904632569
2000-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.48600001335144044
2000-03-09,0.5639999866485595,0.27000002066294354,4.554999987284343,3.8181816881353203,0.0,0.0,0.0,6.468000113964081,6.6166663898362055,4.652999973297119
2000-03-10,1.055999994277954,0.8125,0.0,0.589090954173695,3.961578845977783,2.5892307483232937,0.0,0.4875,1.8349999851650662,0.0
2000-03-11,0.0,0.1674999992052714,0.0,0.0,0.915789478703549,1.3015384674072266,0.0,0.6254999876022339,0.0,0.0
2000-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8819999933242798,0.0,0.0
2000-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2595000028610229,0.0,0.0
2000-03-15,0.0,0.0,0.2799999937415123,0.0,0.0,0.0,0.0,0.47100000381469725,0.07999999821186066,0.0
2000-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30749998092651365,0.0,0.0
2000-03-17,0.0,0.0,0.0,1.6799999583851208,0.0,0.0,0.0,1.7609999656677247,0.2566666603088379,0.0
2000-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-19,0.9039999961853027,0.0,0.0,0.0,1.1052631077013517,0.0,0.0,0.0,0.0,0.0
2000-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666607062022,0.0
2000-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-22,0.0,0.0,0.0,1.5381818251176314,0.0,0.0,0.0,0.6030000209808349,0.23500000105963814,0.0
2000-03-23,0.0,0.0,0.0,4.734545621004972,0.0,0.0,0.0,0.2954999923706055,0.48000001907348633,0.0
2000-03-24,0.0,0.5874999761581421,0.0,2.1381818597966973,0.0,0.0,0.0,2.23050000667572,0.3266666730244954,0.0
2000-03-25,0.0,1.099999984105428,0.0,0.0,0.0,0.0,0.0,0.6599999904632569,0.0,0.0
2000-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34049999713897705,0.0,0.0
2000-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309999942779541,0.0,0.0
2000-03-28,0.0,0.0,0.0,1.919999902898615,0.0,0.0,0.0,0.903000020980835,0.2933333184983995,0.0
2000-03-29,0.0,5.272500197092692,0.0,0.0,0.0,1.0892307574932392,0.0,0.5309999942779541,0.0,1.0529999732971191
2000-03-30,0.0,2.0599999825159707,0.0,0.0,0.0,0.0,0.0,0.15899999141693116,0.0,0.0
2000-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0185000419616699,0.0,0.0
2000-04-01,0.0,0.2824999888737996,0.0,0.0,0.0,0.0,0.0,7.149000024795532,0.0,0.0
2000-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7889999866485595,0.0,0.0
2000-04-04,0.0,0.7324999968210856,0.0,0.0,0.0,0.0,0.0,0.4394999980926514,0.0,0.0
2000-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3680000305175781
2000-04-06,0.0,0.0,1.2774999936421711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-07,0.0,0.7149999936421713,10.294999996821085,0.0,0.0,0.7107692131629357,0.9869999885559082,0.8039999961853027,3.296666774484846,0.0
2000-04-08,0.5480000178019205,0.0,2.8875000278155007,0.9709091186523438,1.034210481141743,0.0,0.0,0.4695000171661377,0.49000000953674316,0.0
2000-04-09,0.0,0.0,0.7949999968210856,1.581818320534446,0.0,0.0,0.0,17.977499389648436,0.9683333569102817,11.462999725341797
2000-04-10,0.8259999910990398,1.4125000635782878,0.7100000182787577,0.9709091186523438,3.601578762656764,1.4607691398033729,0.0,1.4970000028610229,2.4966666301091514,3.08100004196167
2000-04-11,0.0,2.8125000397364297,1.1799999872843425,5.405454635620117,0.0,0.0,0.225,2.6009999752044677,3.760000083181593,11.645999908447266
2000-04-12,6.2639999071757,0.0,16.16749970118205,25.53818078474565,8.510526255557412,2.4784614856426535,8.999999904632569,5.740499830245971,24.82166576385498,14.7
